,Mean Expression,Log2 Fold Change,Adjusted P value,Gene Name,Function,Pathway
PMI3549,1179.427518891,2.08005674667703,4.589914421429269e-08,fadA,(GenBank) 3-ketoacyl-CoA thiolase,"pmr00071  Fatty acid degradation, pmr00280  Valine, leucine and isoleucine degradation, pmr00281  Geraniol degradation, pmr00362  Benzoate degradation, pmr00592  alpha-Linolenic acid metabolism, pmr01100  Metabolic pathways, pmr01110  Biosynthesis of secondary metabolites, pmr01120  Microbial metabolism in diverse environments, pmr01130  Biosynthesis of antibiotics, pmr01212  Fatty acid metabolism"
PMI0688,1068.14012097068,1.99023490021874,5.451399044401e-09,cspD,(GenBank) cold shock-like protein,
PMI2809,10172.1941635484,1.9831846313489698,5.947718542248321e-07,,(GenBank) methyl-accepting chemotaxis protein,
PMI2341,1708.400809592,1.95623400027477,2.1799641642991701e-07,,(GenBank) autotransporter (serine protease),
PMI1804,2287.7202266428303,1.9361392911530602,4.43632115838926e-05,,(GenBank) ferritin-like protein,
PMI1082,350.380646242574,1.91900179045315,4.04416177808453e-10,,(GenBank) putative membrane protein,
PMI2569,330.689231088147,1.9181912333441102,2.05665478737186e-08,,(GenBank) putative membrane protein,
PMI3595,2161.39470029064,1.9027934342989299,5.1097582457633e-08,gldA,(GenBank) glycerol dehydrogenase,"pmr00561  Glycerolipid metabolism, pmr00640  Propanoate metabolism, pmr01100  Metabolic pathways"
PMI2662,9322.002468295179,1.9015601099858501,1.19613561982097e-06,,(GenBank) chitin binding protein,
PMI1406,3715.3253652993,1.8936267783305099,2.8151134725609902e-12,gadC,(GenBank) probable glutamate/gamma-aminobutyrate antiporter (extreme acid sensitivity protein),pmr02024  Quorum sensing
PMI2763,727.122743468087,1.84924679714374,1.70828149617659e-09,aceA,(GenBank) isocitrate lyase,"pmr00630  Glyoxylate and dicarboxylate metabolism, pmr01100  Metabolic pathways, pmr01110  Biosynthesis of secondary metabolites, pmr01120  Microbial metabolism in diverse environments, pmr01200  Carbon metabolism"
PMI0279,361091.638696154,1.8482755665542798,5.603096527178929e-20,zapA,(GenBank) metalloprotease,pmr01503  Cationic antimicrobial peptide (CAMP) resistance
PMI0602,234.810438263619,1.82501841120754,1.0415293528553899e-09,bioA,(GenBank) adenosylmethionine-8-amino-7-oxononanoate aminotransferase,"pmr00780  Biotin metabolism, pmr01100  Metabolic pathways"
PMI3038,987.5321581801511,1.8020644366913998,3.67398022273604e-05,,(GenBank) putative membrane protein,
PMI0834,708.941158300685,1.7907282865087801,2.05665478737186e-08,,(GenBank) putative exported protein,
PMI2764,1225.6697059402302,1.78441027105238,9.07002671779835e-07,aceB,(GenBank) malate synthase A,"pmr00620  Pyruvate metabolism, pmr00630  Glyoxylate and dicarboxylate metabolism, pmr01100  Metabolic pathways, pmr01110  Biosynthesis of secondary metabolites, pmr01120  Microbial metabolism in diverse environments, pmr01200  Carbon metabolism"
PMI0436,598.212585905705,1.7839616337608701,4.24455319554867e-05,gltJ,"(GenBank) glutamate/aspartate ABC transporter, permease protein","pmr02010  ABC transporters, pmr02020  Two-component system"
PMI3449,1015.46528481114,1.7706642872128897,3.23136214042514e-05,,(GenBank) conserved hypothetical protein,
PMI1509,4076.92978811104,1.76581932886707,4.60610154578334e-09,dadA,(GenBank) D-amino acid dehydrogenase small subunit,pmr00360  Phenylalanine metabolism
PMI1773,1380.47595551876,1.7652945914678202,2.05665478737186e-08,gcd,(GenBank) quinoprotein glucose dehydrogenase,"pmr00030  Pentose phosphate pathway, pmr01100  Metabolic pathways, pmr01110  Biosynthesis of secondary metabolites, pmr01130  Biosynthesis of antibiotics"
PMI0604,267.88867125979,1.73841608006077,6.31422723424992e-11,bioF,(GenBank) 8-amino-7-oxononanoate synthase,"pmr00780  Biotin metabolism, pmr01100  Metabolic pathways"
PMI3703,507.774235717845,1.7078411598428402,5.02514771030181e-10,,(GenBank) putative membrane protein,
PMI1349,1103.47459120076,1.69929874253166,5.11660309642116e-05,,(GenBank) putative lipoprotein,
PMI1223,1716.05916293428,1.6979013812819699,3.9547912938117205e-09,,(GenBank) HlyD-family secretion protein,
PMI1031,1051.8122927995598,1.67343621407771,0.00542062578940151,csaA,(GenBank) putative protein secretion chaperone,
PMI3007,1516.91025484211,1.66268342749103,4.1630176582482005e-09,,(GenBank) short chain dehydrogenase,
PMI0622,334.960235847665,1.6607179834246102,1.8227786082647302e-05,,(GenBank) putative transglycosylase associated protein,
PMI1320,3648.2356201113203,1.65089545713756,2.7567880189596998e-05,acnA,(GenBank) aconitate hydratase 1,"pmr00020  Citrate cycle (TCA cycle), pmr00630  Glyoxylate and dicarboxylate metabolism, pmr01100  Metabolic pathways, pmr01110  Biosynthesis of secondary metabolites, pmr01120  Microbial metabolism in diverse environments, pmr01130  Biosynthesis of antibiotics, pmr01200  Carbon metabolism, pmr01210  2-Oxocarboxylic acid metabolism, pmr01230  Biosynthesis of amino acids"
PMI3557,4240.55825914401,1.63615319117757,1.03525946285593e-05,,(GenBank) conserved hypothetical protein,
PMI1333,399.44594218282504,1.6294285640343502,1.7976567176780899e-06,sodC,(GenBank) copper-zinc superoxide dismutase,
PMI2410,39.233740271676105,1.6263956847182,4.10899346522406e-05,,(GenBank) zinc-finger,
PMI3001,60.4071379278586,1.6196471491777098,0.00017490279033711398,,(GenBank) putative fimbrial protein,
PMI1032,438.639876111722,1.5946021582762302,2.3323678611981003e-09,,(GenBank) putative transcriptional regulator,
PMI1819,145.38290654939502,1.5918904988149598,3.17468952823116e-07,,(GenBank) putative short-chain dehydrogenase,
PMI1011,169.840533580575,1.5914709036638999,2.8844507496542603e-05,,(GenBank) conserved hypothetical protein,
PMI1508,1196.24718264013,1.58636437853337,1.11339798978302e-08,dadB,"(GenBank) alanine racemase, catabolic","pmr00473  D-Alanine metabolism, pmr01100  Metabolic pathways, pmr01502  Vancomycin resistance"
PMI0437,6666.86799350308,1.5713797551778799,0.008341902691511409,gltI,"(GenBank) glutamate/aspartate ABC transporter, substrate-binding protein","pmr02010  ABC transporters, pmr02020  Two-component system"
PMI0631,2161.42240775428,1.5685065452644098,3.5871091446065796e-07,dps,(GenBank) DNA protection during starvation protein,
PMI1469,542.49761053704,1.53765446204735,0.0006172470178659441,,(GenBank) fimbrial subunit,
PMI0278,31046.6004738466,1.5362571598971297,2.89504906555799e-10,zapB,(GenBank) Type I secretion ATP-binding protein,pmr02010  ABC transporters
PMI2827,39.101001880297,1.5260475913826699,0.000258930756835179,,(GenBank) putative membrane protein,
PMI1476,9207.12589613869,1.52291672186677,0.00011339439529943702,oppA2,"(GenBank) oligopeptide ABC transporter, oligopeptide-binding protein","pmr01501  beta-Lactam resistance, pmr02010  ABC transporters, pmr02024  Quorum sensing"
PMI1023,334.688249837735,1.5227412642712,1.66609177286787e-06,,(GenBank) putative kinase,
PMI1452,727.248566188223,1.51518558555502,7.77155147583025e-08,,(GenBank) conserved hypothetical protein,
PMI1702,324.976618307297,1.5119861528992098,0.00030741673870076096,,(GenBank) putative membrane protein,
PMI3037,29694.6611618102,1.5107198670603401,0.000363402585755887,acs,(GenBank) acetyl-coenzyme A synthetase,"pmr00010  Glycolysis / Gluconeogenesis, pmr00620  Pyruvate metabolism, pmr00640  Propanoate metabolism, pmr00680  Methane metabolism, pmr01100  Metabolic pathways, pmr01110  Biosynthesis of secondary metabolites, pmr01120  Microbial metabolism in diverse environments, pmr01130  Biosynthesis of antibiotics, pmr01200  Carbon metabolism"
PMI1202,1142.7039028059,1.50782947134105,3.50187083570304e-08,uspE,(GenBank) universal stress protein E,
PMI0606,123.374853876495,1.50244213556286,6.58693260701707e-07,bioD,(GenBank) dethiobiotin synthetase,"pmr00780  Biotin metabolism, pmr01100  Metabolic pathways"
PMI3450,2774.29010996659,1.48925476786743,0.000120001156824406,nrdG,(GenBank) anaerobic ribonucleoside-triphosphate reductase activating protein,
fig|529507.6.peg.1530,60.1254063467459,1.4780569984091698,9.15821160372407e-07,,,
PMI0435,421.770950524008,1.4742367923385802,0.0004961831630579639,gltK,"(GenBank) glutamate/aspartate ABC transporter, permease protein","pmr02010  ABC transporters, pmr02020  Two-component system"
PMI1475,35876.3417040211,1.45108123242971,0.00078760000317835,oppA,"(GenBank) oligopeptide ABC transporter, oligopeptide-binding protein","pmr01501  beta-Lactam resistance, pmr02010  ABC transporters, pmr02024  Quorum sensing"
PMI2368,157.681994628175,1.44352646110149,3.2781370641651297e-06,aroH,(GenBank) putative phospho-2-dehydro-3-deoxyheptonate aldolase,"pmr00400  Phenylalanine, tyrosine and tryptophan biosynthesis, pmr01100  Metabolic pathways, pmr01110  Biosynthesis of secondary metabolites, pmr01130  Biosynthesis of antibiotics, pmr01230  Biosynthesis of amino acids, pmr02024  Quorum sensing"
PMI3200,2564.45800855242,1.4374701893060402,9.98491959677966e-07,cpxP,(GenBank) periplasmic protein,
PMI1225,472.685320265543,1.4357408475428,3.8086395091330705e-07,,(GenBank) ABC-2 type transporter,
PMI1224,1879.5404926687602,1.4325981364564397,2.52930806821493e-06,,(GenBank) putative ABC-type multidrug transport system,
PMI2268,3129.05219845142,1.4295170291886599,5.940276720528361e-05,,(GenBank) short chain dehydrogenase,
PMI2387,3574.6179200931106,1.41965923795802,1.7976567176780899e-06,terA,(GenBank) tellurite resistance protein,
PMI0845,712.9580382404331,1.41405619910572,0.00033671079410390497,ipdC,(GenBank) putative indole-3-pyruvate decarboxylase,"pmr00380  Tryptophan metabolism, pmr01100  Metabolic pathways"
PMI1058,7851.401265290479,1.40927141209618,1.66609177286787e-06,budB,"(GenBank) acetolactate synthase, catabolic","pmr00290  Valine, leucine and isoleucine biosynthesis, pmr00650  Butanoate metabolism, pmr00660  C5-Branched dibasic acid metabolism, pmr00770  Pantothenate and CoA biosynthesis, pmr01100  Metabolic pathways, pmr01110  Biosynthesis of secondary metabolites, pmr01130  Biosynthesis of antibiotics, pmr01210  2-Oxocarboxylic acid metabolism, pmr01230  Biosynthesis of amino acids"
PMI1740,6289.5312969077295,1.4071050265565903,0.000689758815584246,katA,(GenBank) catalase,"pmr00380  Tryptophan metabolism, pmr00630  Glyoxylate and dicarboxylate metabolism, pmr01110  Biosynthesis of secondary metabolites, pmr01130  Biosynthesis of antibiotics, pmr01200  Carbon metabolism"
PMI1474,2911.3073759452004,1.4046480294439798,0.000186209644207987,oppB,"(GenBank) oligopeptide ABC transporter, permease protein","pmr01501  beta-Lactam resistance, pmr02010  ABC transporters, pmr02024  Quorum sensing"
PMI3010,367.59675960220704,1.4023875337013603,9.35626231726653e-06,uspB,(GenBank) universal stress protein B,
PMI3593,825.6680116407829,1.3977916154016399,1.2276525617896002e-14,glpB,(GenBank) anaerobic glycerol-3-phosphate dehydrogenase subunit B,"pmr00564  Glycerophospholipid metabolism, pmr01110  Biosynthesis of secondary metabolites"
PMI1952,326.9181429959,1.39220868124837,2.73890711122455e-05,tkrA,(GenBank) 2-ketogluconate reductase (2-ketoaldonate reductase),"pmr00030  Pentose phosphate pathway, pmr00260  Glycine, serine and threonine metabolism, pmr00620  Pyruvate metabolism, pmr00630  Glyoxylate and dicarboxylate metabolism, pmr01100  Metabolic pathways, pmr01110  Biosynthesis of secondary metabolites, pmr01120  Microbial metabolism in diverse environments"
PMI2549,434.923703436785,1.38243951188201,2.4956015002469898e-05,,(GenBank) putative phage integrase,
PMI2993,16719.1910502018,1.3821678720383799,1.70828149617659e-09,,(GenBank) putative membrane protein,
PMI1781,939.629544069646,1.3768853250893,2.78790353549036e-06,,(GenBank) conserved hypothetical protein,
PMI2231,251.731562187952,1.37045609028314,5.940276720528361e-05,,(GenBank) putative transport protein,
PMI0605,192.615278489371,1.36806149848207,7.77155147583025e-08,bioC,(GenBank) biotin synthesis protein BioC,"pmr00780  Biotin metabolism, pmr01100  Metabolic pathways"
PMI3702,1357.6741389744802,1.3659281917186699,5.397519024825479e-07,fadH,"(GenBank) 2,4-dienoyl-CoA reductase",
PMI3387,173.990070792231,1.36159420349383,1.7620432807471e-08,,(GenBank) conserved hypothetical protein,
PMI1467,69.56287910421571,1.36080887964937,0.00785722531735996,,(GenBank) fimbrial chaperone protein,
PMI3592,885.4766257145629,1.3593339170953402,6.28216175481169e-14,glpA,(GenBank) anaerobic glycerol-3-phosphate dehydrogenase subunit A,"pmr00564  Glycerophospholipid metabolism, pmr01110  Biosynthesis of secondary metabolites"
PMI3253,4305.86179966643,1.3537785055113,9.98491959677966e-07,bfr,(GenBank) bacterioferritin,pmr00860  Porphyrin and chlorophyll metabolism
PMI1625,55.1064740342256,1.3520284439188301,0.0027220622704786103,,(GenBank) hypothetical protein,
PMI3558,12648.8089923263,1.34685803845482,0.000107893326387962,,(GenBank) putative allophanate hydrolase,
fig|529507.6.peg.2069,96.0055596582116,1.34588001764393,0.00011468509716774399,,,
PMI2222,456.459756567308,1.3431307451938799,0.006292976233280611,,(GenBank) fimbrial subunit,
PMI1384,965.822321541082,1.34112150785266,0.0021506546073113,gst,(GenBank) glutathione S-transferase,pmr00480  Glutathione metabolism
PMI0504,8.023129168033169,1.3213907514639098,0.0275371960068745,,(GenBank) phage protein,
PMIP21,1592.7712970251098,1.32074386341599,0.00013413462288602,,(GenBank) putative membrane protein,
PMI0152,785.012128198676,1.3202738433821102,1.28329035585764e-05,,(GenBank) conserved hypothetical protein,
PMI2991,13782.856230603,1.31863710050378,2.6309440901063897e-05,,(GenBank) VgrG-like protein,pmr03070  Bacterial secretion system
PMI1532,2244.6034726901103,1.31437094207789,0.000222953485206328,,(GenBank) glucose 1-dehydrogenase,"pmr00030  Pentose phosphate pathway, pmr01120  Microbial metabolism in diverse environments, pmr01200  Carbon metabolism"
PMI2509,873.669871806627,1.30736145601875,0.000230851797539643,,(GenBank) conserved hypothetical protein,
PMI0391,162.525600083553,1.30395238134124,5.00187070967979e-05,,(GenBank) putative sigma 54 modulation protein,
fig|529507.6.peg.2932,6.758645563082171,1.3037260834310902,0.0401492610628558,,,
PMI3559,14468.683254856101,1.29951212074068,0.000155194233802231,,(GenBank) putative bifunctional acetyl-/propionyl-coenzyme A carboxylase alpha chain [includes: biotin carboxylase and biotin carboxyl carrier protein],"pmr00061  Fatty acid biosynthesis, pmr00280  Valine, leucine and isoleucine degradation, pmr00620  Pyruvate metabolism, pmr00630  Glyoxylate and dicarboxylate metabolism, pmr00640  Propanoate metabolism, pmr01100  Metabolic pathways, pmr01110  Biosynthesis of secondary metabolites, pmr01120  Microbial metabolism in diverse environments, pmr01130  Biosynthesis of antibiotics, pmr01200  Carbon metabolism, pmr01212  Fatty acid metabolism"
PMI1407,15767.3432269188,1.29935630096586,0.000179712485035531,gadB,(GenBank) glutamate decarboxylase beta,"pmr00250  Alanine, aspartate and glutamate metabolism, pmr00410  beta-Alanine metabolism, pmr00430  Taurine and hypotaurine metabolism, pmr00650  Butanoate metabolism, pmr01100  Metabolic pathways, pmr01110  Biosynthesis of secondary metabolites, pmr01120  Microbial metabolism in diverse environments, pmr02024  Quorum sensing"
PMI1466,338.214247370052,1.2946692445526597,0.0027636645200902602,,(GenBank) fimbrial outer membrane usher protein,
PMI1395,65.0024490282868,1.29266747404519,0.00017985542467793402,,(GenBank) hypothetical protein,
PMI2092,2288.2965527208303,1.2905883529283602,3.39857250907051e-05,budC,(GenBank) acetoin(diacetyl) reductase,pmr00650  Butanoate metabolism
PMI2236,2537.4734059376,1.28409818050448,0.0021506546073113,rpoS,(GenBank) RNA polymerase sigma factor RpoS,
PMI3579,12848.6252282198,1.2806797299693302,0.0013183662643615,,(GenBank) conserved hypothetical protein,
PMI2386,1905.46762550482,1.2792521511232,6.04203943710497e-08,terB,(GenBank) tellurite resistance protein,
PMI0121,512.880147931361,1.27829555455217,0.00045292497806775705,,(GenBank) conserved hypothetical protein,
PMI1591,2910.33021727426,1.27406432881382,3.38435132071033e-05,,(GenBank) putative diacylglycerol kinase,
PMI0223,12928.878767798,1.26859216014972,5.618049584078921e-05,,(GenBank) putative alpha-keto acid decarboxylase,
PMIP08,1931.00469253845,1.26835530961254,0.0005004399983281599,pilX2,(GenBank) putative conjugal transfer protein,
PMI0263,77.04749560053041,1.2541648122646498,0.00637256339781366,mrpA,(GenBank) major mannose-resistant/Proteus-like fimbrial protein,
PMI0991,900.675884652654,1.24650012630626,0.0028238520511464603,,(GenBank) conserved hypothetical protein,
PMI0277,14547.3047034931,1.24271121274941,1.2174636029410901e-08,zapC,(GenBank) type I secretion protein,
PMI2254,9459.469747549301,1.23931950493609,0.00032914824182876,mdeA,(GenBank) methionine gamma-lyase,"pmr00270  Cysteine and methionine metabolism, pmr00450  Selenocompound metabolism"
PMI1957,17.7964943665803,1.23167133534459,0.021263765529547004,,(GenBank) conserved hypothetical protein,
PMI1120,22281.1861707714,1.2282908962388899,5.8867124613808e-06,,(GenBank) Rhs-family protein,
PMI1814,81.93316977018449,1.22622086453691,0.000110065164266735,phsA,(GenBank) thiosulfate reductase precursor,"pmr00920  Sulfur metabolism, pmr01120  Microbial metabolism in diverse environments"
PMI3230,1909.0002270662399,1.22419519378869,2.22179402881959e-05,proP,(GenBank) proline/betaine transporter (MFS-family transporter),
PMI1468,47.8448866733049,1.2240099340985502,0.0118299395483971,,(GenBank) fimbrial subunit,
PMI1119,5725.1574364299295,1.2210184391211298,1.03525946285593e-05,,(GenBank) conserved hypothetical protein,
PMI2529,1780.0485780385898,1.22045792490356,2.2448671166258e-07,rpiB,(GenBank) putative ribose 5-phosphate isomerase,"pmr00030  Pentose phosphate pathway, pmr00051  Fructose and mannose metabolism, pmr01100  Metabolic pathways, pmr01110  Biosynthesis of secondary metabolites, pmr01120  Microbial metabolism in diverse environments, pmr01130  Biosynthesis of antibiotics, pmr01200  Carbon metabolism, pmr01230  Biosynthesis of amino acids"
PMI1780,1275.22116309945,1.21445763420578,0.000448412450637758,,(GenBank) putative glutathione-S transferase,
PMI2813,7184.87863740047,1.21373025253134,1.04449819007801e-10,aer,(GenBank) aerotaxis receptor,"pmr02020  Two-component system, pmr02030  Bacterial chemotaxis"
PMI3235,2033.42226687367,1.21275597206015,0.006292976233280611,poxB,(GenBank) pyruvate dehydrogenase [cytochrome],pmr00620  Pyruvate metabolism
PMI2255,3279.0035313475605,1.20996518209167,3.5726733072801596e-05,,(GenBank) conserved hypothetical protein,
PMI3508,574.188772303244,1.20696139140277,1.7503923272478898e-10,,(GenBank) putative transcriptional regulator,
PMI1449,791.406615306665,1.20653278471361,0.00309891222754652,uspG1,(GenBank) universal stress protein G,
PMI2407,160.543515073632,1.2044427922361498,6.81243494043894e-07,pgtC,"(GenBank) phosphoglycerate transport system, substrate-binding/regulatory protein",pmr02020  Two-component system
PMI0793,16.7931140114611,1.20308570505266,0.0167829119958029,,(GenBank) putative acylphosphatase,"pmr00620  Pyruvate metabolism, pmr00627  Aminobenzoate degradation, pmr01120  Microbial metabolism in diverse environments"
PMI2221,4070.8029621737,1.2028867486166699,0.0102049861612842,,(GenBank) fimbrial outer membrane usher protein,
PMI0497,48.831530147835394,1.2003259372406399,0.0040519779295668,,(GenBank) putative phage terminase large subunit,
PMI2847,10436.6646916604,1.19228646706853,0.0164640940505129,dppA,"(GenBank) dipeptide ABC transporter, substrate-binding protein","pmr02010  ABC transporters, pmr02030  Bacterial chemotaxis"
PMI2388,3706.2934216644103,1.19072781546775,9.33228308948715e-09,terZ,(GenBank) putative tellurite resistance protein,
PMI1059,2286.2659316384697,1.18424986246414,1.9615200355560197e-05,budA,(GenBank) alpha-acetolactate decarboxylase,"pmr00650  Butanoate metabolism, pmr00660  C5-Branched dibasic acid metabolism"
PMI2019,17352.997587726,1.1832601189079701,0.00460590539083999,gcvP,(GenBank) glycine dehydrogenase [decarboxylating] (glycine cleavage system P-protein),"pmr00260  Glycine, serine and threonine metabolism, pmr00630  Glyoxylate and dicarboxylate metabolism, pmr01100  Metabolic pathways, pmr01110  Biosynthesis of secondary metabolites, pmr01130  Biosynthesis of antibiotics, pmr01200  Carbon metabolism"
PMI2218,391.220665087163,1.1774408556849199,0.00752507263520528,,(GenBank) fimbrial subunit,
PMI1473,2969.95615524315,1.17417651196714,0.000730809856672179,oppC,"(GenBank) oligopeptide ABC transporter, permease protein","pmr01501  beta-Lactam resistance, pmr02010  ABC transporters, pmr02024  Quorum sensing"
PMI3382,220.16401953572498,1.1711409696076598,2.7083358502604696e-06,,(GenBank) transposase,
PMI3358,56.953091453694,1.17110550212266,0.000493475313986354,,(GenBank) putative plasmid stabilization protein,
PMI0480,42.1044346623204,1.16938204021214,0.0406578241192667,,(GenBank) putative phage regulatory protein,
PMI0667,1055.76802692424,1.1691336150641798,2.1860897304999398e-05,,(GenBank) putative exported protein,
fig|529507.6.peg.1100,74.7133277499763,1.16829114693211,9.728490110968051e-05,,,
PMI2256,14625.366618473601,1.1672911337477299,0.000103029034632583,,(GenBank) putative oxidoreductase,pmr00920  Sulfur metabolism
PMI2409,52.5028285432603,1.1664648479261102,0.000438672062057762,,(GenBank) putative pyruvate kinase,"pmr00010  Glycolysis / Gluconeogenesis, pmr00230  Purine metabolism, pmr00620  Pyruvate metabolism, pmr01100  Metabolic pathways, pmr01110  Biosynthesis of secondary metabolites, pmr01120  Microbial metabolism in diverse environments, pmr01130  Biosynthesis of antibiotics, pmr01200  Carbon metabolism, pmr01230  Biosynthesis of amino acids"
PMI1402,684.4358681525309,1.16433201738091,7.33762476497197e-08,cfa,(GenBank) cyclopropane-fatty-acyl-phospholipid synthase,
PMI2385,7170.3529518654,1.15418709831278,3.78325190057959e-05,terC,(GenBank) tellurite resistance protein,
PMI0957,13.3042940307148,1.15197210860209,0.0293849164144871,,(GenBank) probable phage antitermination protein,
PMI2232,185.907667471689,1.14879529954594,0.000862676372872405,,(GenBank) TetR-family transcriptional regulator,
PMI0142,1660.70564203238,1.1441400872165501,1.0263746753632302e-05,cstA,(GenBank) carbon starvation protein,
PMI2172,215.04048688305198,1.1391264776143202,5.51934914492009e-07,cueR,(GenBank) MerR-family transcriptional regulator (copper efflux regulator),
fig|529507.6.peg.467,36.7680472058744,1.13398639075989,0.0422475955757655,,,
PMI2996,812.9053107038279,1.1335439415846398,2.71345620059706e-06,,(GenBank) putative exported protein,
PMI0337,92.1145259773505,1.1279129341503402,0.000394124673195696,,(GenBank) putative type II/IV secretion system protein,
PMI1286,15.0768586048485,1.12649751226533,0.0409887683575628,osmB,(GenBank) osmotically-inducible lipoprotein,
PMI0591,1276.56296732319,1.12144166094804,5.6934370483908804e-05,modF,(GenBank) putative molybdenum transport ATP-binding protein (photorepair protein),pmr02010  ABC transporters
PMI1611,105.945647973146,1.11913437009729,0.0210887362420222,,(GenBank) universal stress protein,
PMI2510,63.285918938905795,1.11152370171664,0.00329911348267952,,(GenBank) radical SAM superfamily protein,
PMI2038,2817.1059139047697,1.1090572973876398,0.00011118121229636799,,(GenBank) putative mechanosensitive ion channel protein,
PMI1316,211.74088517217098,1.10378080713914,1.3174376071858199e-05,pgpB,(GenBank) phosphatidylglycerophosphatase B,"pmr00564  Glycerophospholipid metabolism, pmr01100  Metabolic pathways"
fig|529507.6.peg.3424,20.8758548749848,1.10101864468473,0.0154037202064772,,,
PMI1408,3952.71488550932,1.09381800369388,9.58090398077838e-05,,(GenBank) putative conjugated bile acid hydrolase,"pmr00121  Secondary bile acid biosynthesis, pmr01100  Metabolic pathways"
PMI2992,5561.51655661198,1.0929803721568498,0.000161860363778785,,(GenBank) hypothetical protein,
PMI0322,80.12394253952209,1.09178997582745,3.77201545011123e-05,,(GenBank) transposase,
PMI2216,841.1778747108999,1.08956298272297,0.0154716900296135,,(GenBank) putative fimbrial adhesin,
PMI0588,248.637109070823,1.0869593127353,0.0012262670912773,pnuC,(GenBank) putative nicotinamide mononucleotide transport protein,
PMI2434,975.2724731084751,1.08591529328177,1.17906287226038e-07,,(GenBank) putative plasmid-related helicase,
PMI2217,263.36814198804296,1.08540954754787,0.0244306241040495,,(GenBank) putative fimbrial subunit,
PMI1767,241.465375196829,1.08516842923202,9.15821160372407e-07,,(GenBank) putative cation transporter,
PMI0503,18.2764400146908,1.0824740098021701,0.0214917163408643,,(GenBank) phage protein,
